15:36:48.707                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:36:48.708                     StreamDeck                        main():                                         Compiled with Qt 5.15.2 ; SSL: OpenSSL 1.1.1g  21 Apr 2020
15:36:48.710                     StreamDeck                        main():                                         Runtime SSL Supported: 1
15:36:48.710                     StreamDeck                        main():                                         Runtime SSL version used: OpenSSL 1.1.1d  10 Sep 2019
15:36:49.100                     StreamDeck                        ESDCustomPluginCommunication::start():          Using port 28196 to communicate with plugins
15:36:49.110                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading custom plugins...
15:36:49.110                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools.sdPlugin...
15:36:49.112                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.axytradingtools2.sdPlugin...
15:36:49.113                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lot. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:36:49.113                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.tile. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:36:49.113                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lotplus. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:36:49.113                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.lotminus. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:36:49.113                     StreamDeck                        ESDPluginParser::CreatePluginFromPath():        There is already an action loaded with the UUID com.axytradingtools.symbol. The action defined in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\Plugins\com.axytradingtools2.sdPlugin\manifest.json won't be loaded.
15:36:49.113                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.apininja.sdPlugin...
15:36:49.114                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.speedtest.sdPlugin...
15:36:49.115                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.spotify.sdPlugin...
15:36:49.117                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.stockticker.sdPlugin...
15:36:49.118                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.barraider.wintools.sdPlugin...
15:36:49.121                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.keycreator.sdPlugin...
15:36:49.122                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.memorygame.sdPlugin...
15:36:49.123                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.elgato.reactiondeck.sdPlugin...
15:36:49.124                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading com.exension.stocks.sdPlugin...
15:36:49.125                     StreamDeck                        ESDPluginManager::LoadPluginsInFolder():        Loading gg.datagram.web-requests.sdPlugin...
15:36:49.444                     StreamDeck                        ESDVSDServer::init():                           ### [SERVER] init
15:36:49.444                     StreamDeck                        ESDCUEHub::init():                              ### [CUESDK] init
15:36:49.454                     StreamDeck                        AccountMgr::InitializeAccountMgr():             AccountMgr initialized
15:36:49.454                     StreamDeck                        AccountMgr::ReloadAllAccountsFromPreferences(): Reload all accounts
15:36:49.454                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitter
15:36:49.454                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for YouTube
15:36:49.454                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Streamlabs
15:36:49.454                     StreamDeck                        AccountMgr::RecreateServiceInstancesForType():  Recreate service instances for Twitch
15:36:49.454                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Could not load EGCAPILite.dll
15:36:49.454                     StreamDeck                        EGCAPILiteDLL::LoadDLL():                       Loading EGCAPILite.dll from: C:\Program Files\Elgato\GameCapture\EGCAPILite.dll, result: 0
15:36:49.454                     StreamDeck                        EGCAPILiteDLL::Initialize():                    mInitializeFunc is not set
15:36:49.455                     StreamDeck                        GameCaptureSync::GameCaptureSync():             Unable to initialize Game Capture integration.
15:36:49.455                     StreamDeck                        MainWindow::ReloadProfiles():                   Flattening profiles in C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:36:49.458                     StreamDeck                        MainWindow::ReloadProfiles():                   Loading profiles from C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:36:49.458                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\176F9ED3-E56F-4183-8F1E-2385EA69CC67.sdProfile
15:36:49.459                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\1EEBE702-E1AD-4D60-A0B0-618D78DE6E60.sdProfile
15:36:49.459                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\5B5F68A9-79A8-44DC-8CBE-359C64606381.sdProfile
15:36:49.460                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\C170D543-86F3-44B6-92CA-B99BF3186D86.sdProfile
