15:38:29.535                     epl                               dbgcommand():                                   using log file 'C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\logs\StreamDeck0.log'
15:38:30.142                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\E03E3D19-1330-4FC6-967C-F8DDE7EB3352.sdProfile
15:38:30.144                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid ABF484EE-0FE5-4FA4-BB2E-A490E55C8540 added to profile 296C3531-BBCB-48A3-8DB0-9DB1C49D5076
15:38:30.145                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2003F08F-1F0C-4EF8-A1BF-78CF6D05F081 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.145                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C74BC9F3-93D9-448B-9A53-03934CD3ED5E added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.145                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 9006A453-863F-4FB9-BABD-5A6E01BA91D8 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.145                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7478E3B9-09B0-4663-BDE4-687E14D9C36B added to profile CBD4FE99-18E1-4578-AB27-E673A3396AE9
15:38:30.146                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 497F1AC2-91D4-46BD-956E-E8F925CC12D3 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.146                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2DA0BB55-44C3-4A23-B5F6-F18E69B2F7A8 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.146                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 02F1454D-2B8E-4081-8B2E-DEEB821CFE8C added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.146                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 09052463-EC68-4CE1-8F47-7DA8BF4049FE added to profile D09BEDDD-FA2E-48F4-BE44-8AEA76E7A018
15:38:30.147                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6156EB39-4DAE-4E17-AA30-17AC8B56E96F added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.147                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C53D58C1-222C-46FC-AAFB-49A7AA276A09 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.147                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C7227659-7A73-4BFE-B878-19EE61E36DA9 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.147                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F added to profile CE9674B0-4258-4D89-B5CE-6EFAD626E4DA
15:38:30.148                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4304FD0-56A6-4594-B118-7D186DEE1038 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.148                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 3D6993A1-4105-49ED-B2AE-132A82A3C517 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.148                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4A42D1C-501E-4AD7-9B5E-B1098C729C89 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.148                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid BFC8A414-8F0F-4E0A-A9B3-2E80C486350B added to profile 6DCFB894-9183-41C3-81BE-1E42C1540465
15:38:30.149                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid B8DDAAFD-C010-4634-B9ED-07797CC6E21E added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:38:30.149                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 66A538CD-6F60-4043-B264-AE4C505CD50B added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:38:30.149                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 988CAF47-7350-4CA2-A4F0-B79E56AA27D7 added to profile 16BA942F-68CD-4C28-A2D9-136BC447AD14
15:38:30.149                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 16BA942F-68CD-4C28-A2D9-136BC447AD14 added to profile 5BC4742C-9259-43D0-9BA8-554F583A3834
15:38:30.150                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C8E207F3-03DF-47B7-83C4-D51B55324471 added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
15:38:30.150                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 06806815-67D6-4969-AF58-F11FFD3A3C3B added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
15:38:30.150                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 06A12F83-0AB1-4656-BD98-DFBFCDDABB53 added to profile AE9200CB-80E2-4D00-8D1D-2D0576B47745
15:38:30.150                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid AE9200CB-80E2-4D00-8D1D-2D0576B47745 added to profile 1F1A6DCF-1224-49CE-A53F-2EFCF152A654
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 38D6AF81-BF98-463A-8678-D547D59F8EFA added to profile 7B451484-8B53-4F64-8AD9-E0FAA6803767
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 3991F639-E124-400B-82E5-CDBE0F46E20D added to profile 7B451484-8B53-4F64-8AD9-E0FAA6803767
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 8B36EFB0-B306-4C0A-93AD-EFF03FE963D4 added to profile 7B451484-8B53-4F64-8AD9-E0FAA6803767
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 342F4C0E-18CA-4DD1-BFF0-DC8EC612E291 added to profile 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid E4FE11A3-DA3D-4ADB-A3E4-64C2B99F4026 added to profile 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7B451484-8B53-4F64-8AD9-E0FAA6803767 added to profile 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 66FB527E-00ED-4BAC-8F24-68E006ADF3D7 added to profile 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE
15:38:30.152                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 01B02F83-1210-46D5-8CB3-B6913C0CFABC added to profile 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE
15:38:30.153                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 03E6FE8D-205F-4F37-93A8-9E44820E0A40 added to profile FF47EC14-47E5-439E-ACEB-B02A27435784
15:38:30.153                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid B8FE9FB9-48EE-4AFC-A936-F711CBA34554 added to profile FF47EC14-47E5-439E-ACEB-B02A27435784
15:38:30.153                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 27DC43A1-423F-4A1C-8174-3B33543D6568 added to profile FF47EC14-47E5-439E-ACEB-B02A27435784
15:38:30.153                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid FF47EC14-47E5-439E-ACEB-B02A27435784 added to profile 194A2A57-EE8C-46D9-9998-B4D23C3AF136
15:38:30.154                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid BC6B8AA6-6D11-4889-9177-08314DAE7E57 added to profile 154638E5-4FB7-4D71-8A2C-EABE9D11B16D
15:38:30.154                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C1EB1BBD-2708-4C64-9838-09D229AE7D35 added to profile 154638E5-4FB7-4D71-8A2C-EABE9D11B16D
15:38:30.154                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 32DE5E82-8294-40C3-A8B2-E116EB09C714 added to profile 154638E5-4FB7-4D71-8A2C-EABE9D11B16D
15:38:30.154                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 154638E5-4FB7-4D71-8A2C-EABE9D11B16D added to profile B8828791-212F-45D2-97F8-E9E8FE65F4F2
15:38:30.156                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 0E0C7626-0417-4290-9FBD-33D0B898EF4A added to profile 8F7809F3-2972-42E5-8D07-ED3982FF89D4
15:38:30.156                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 79F78DBF-3D72-4687-96ED-CB590FFDC34E added to profile 8F7809F3-2972-42E5-8D07-ED3982FF89D4
15:38:30.156                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C5FED054-FA9E-4C56-B054-DC7336EBAFE4 added to profile 8F7809F3-2972-42E5-8D07-ED3982FF89D4
15:38:30.156                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 51FAB920-95F3-4509-BDA6-C442B988E62A added to profile 8F7809F3-2972-42E5-8D07-ED3982FF89D4
15:38:30.156                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 8D9EB444-8DC2-4D7C-B226-AF0EBB5807AC added to profile 8F7809F3-2972-42E5-8D07-ED3982FF89D4
15:38:30.157                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7C143D83-271F-4DA0-B64E-30FE3ED447CD added to profile 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56
15:38:30.157                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid F823CEAE-4AE0-4CF1-BC73-CF10C8472A9A added to profile 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56
15:38:30.157                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 8F7809F3-2972-42E5-8D07-ED3982FF89D4 added to profile 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56
15:38:30.157                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D7F2B8BD-5224-46D5-A6C5-AA6E1298E8F5 added to profile 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56
15:38:30.157                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6EA718D0-D4C1-47A2-BCE7-CE566C77775E added to profile 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56
15:38:30.158                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 1110325F-7F71-4078-8B14-EB04264F57DD added to profile B0679BB7-781B-4B4B-AE82-EE56508F9360
15:38:30.158                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 79E1ABFB-884F-4516-9E28-61155E9CC2F7 added to profile B0679BB7-781B-4B4B-AE82-EE56508F9360
15:38:30.158                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid AF4AB094-3715-4730-91F3-22F6D5B951FE added to profile B0679BB7-781B-4B4B-AE82-EE56508F9360
15:38:30.158                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid B0679BB7-781B-4B4B-AE82-EE56508F9360 added to profile F77A22F3-CA02-4D49-97D9-5A6BC9B6D150
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid CB90D889-F69A-48B7-A4A1-5C59ABFC52D5 added to profile 8755A886-8158-4955-81C2-506C2905F565
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid BAA09EC4-B3A0-4096-B273-2BB22CA6E80D added to profile 8755A886-8158-4955-81C2-506C2905F565
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6A29071C-9B3B-4A11-9B58-47FEA228CD27 added to profile 8755A886-8158-4955-81C2-506C2905F565
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 8755A886-8158-4955-81C2-506C2905F565 added to profile 8E4ED247-1D1A-4137-AF0B-275A0F566098
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid CBD4FE99-18E1-4578-AB27-E673A3396AE9 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D09BEDDD-FA2E-48F4-BE44-8AEA76E7A018 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid CE9674B0-4258-4D89-B5CE-6EFAD626E4DA added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6DCFB894-9183-41C3-81BE-1E42C1540465 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 5BC4742C-9259-43D0-9BA8-554F583A3834 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 1F1A6DCF-1224-49CE-A53F-2EFCF152A654 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 636F87E8-2C7B-4B89-A2D2-8EF77A9841EE added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 194A2A57-EE8C-46D9-9998-B4D23C3AF136 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid B8828791-212F-45D2-97F8-E9E8FE65F4F2 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 57F9A3A9-CAC9-4062-B8EE-90B676C6FD56 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid F77A22F3-CA02-4D49-97D9-5A6BC9B6D150 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 8E4ED247-1D1A-4137-AF0B-275A0F566098 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid FCD344A8-E247-41FD-B115-64EEFBCEBB89 added to profile 684C7EC6-D92B-4DCC-A731-E800A24E8EC1
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 296C3531-BBCB-48A3-8DB0-9DB1C49D5076 added to profile C16460B9-2E96-49D3-9382-37F81AE0603F
15:38:30.159                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 684C7EC6-D92B-4DCC-A731-E800A24E8EC1 added to profile C16460B9-2E96-49D3-9382-37F81AE0603F
15:38:30.160                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid A7AE2890-D14D-4D1C-97A4-93CADE5DF9D0 added to profile E03E3D19-1330-4FC6-967C-F8DDE7EB3352
15:38:30.160                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C16460B9-2E96-49D3-9382-37F81AE0603F added to profile E03E3D19-1330-4FC6-967C-F8DDE7EB3352
15:38:30.160                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid A8B45AA4-49C3-45C4-BEF8-0D8D908399B5 added to profile E03E3D19-1330-4FC6-967C-F8DDE7EB3352
15:38:30.160                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 9563DB38-D3B6-4AC1-9AA6-59305FCB459C added to profile E03E3D19-1330-4FC6-967C-F8DDE7EB3352
15:38:30.161                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\E44F2133-0F73-4F44-B925-9410ED82335F.sdProfile
15:38:30.232                     StreamDeck                        MainWindow::bootstrap():                        Start Stream Deck App -> Version: 5.3.3.15214
15:38:30.294                     StreamDeck                        ESDCUEHub::resume():                            ### [CUESDK] resuming
15:38:30.296                     StreamDeck                        ESDCUEHub::Impl::doConnect():                   ### [CUESDK] resumed
15:38:30.349                     StreamDeck                        MainWindow::bootstrap():                        All object init done!
15:38:30.350                     StreamDeck                        MainWindow::bootstrap():                        Running in high dpi mode: 0
15:38:30.350                     StreamDeck                        ESDSharedFileServer::ESDSharedFileServer():     mapfile location C:\ProgramData\Elgato\StreamDeck\STREAMDECKINTERNALSHM
15:38:30.730                     StreamDeck                        MainWindow::event():                            Wake up keypad(s).
15:38:30.819                     StreamDeck                        ESDCustomPluginCommunication::onMessageReceived(): Plugin F48B960409C7E7EC8E46D6042B98A258 is now connected
15:38:30.819                     StreamDeck                        ESDCustomPluginCommunication::onMessageReceived(): Plugin 02396828699BC09D8D53D0848F9DA069 is now connected
15:38:30.822                     StreamDeck                        MainWindow::onKeyboardStatusChange():           Firmware version in device(@(1)[4057/109/AL51K2C54549]): 1.03.000
15:38:30.822                     StreamDeck                        MainWindow::onKeyboardStatusChange():           Device connected, serial number: AL51K2C54549 and id: @(1)[4057/109/AL51K2C54549]
15:38:30.829                     StreamDeck                        MainWindow::ReloadProfiles():                   Loading profiles from C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2
15:38:30.829                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\176F9ED3-E56F-4183-8F1E-2385EA69CC67.sdProfile
15:38:30.830                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\1EEBE702-E1AD-4D60-A0B0-618D78DE6E60.sdProfile
15:38:30.830                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\5B5F68A9-79A8-44DC-8CBE-359C64606381.sdProfile
15:38:30.830                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\C170D543-86F3-44B6-92CA-B99BF3186D86.sdProfile
15:38:30.831                     StreamDeck                        ESDProfileManager::LoadProfileAtPath():         Loading profile at path C:\Users\alexi\AppData\Roaming\Elgato\StreamDeck\ProfilesV2\E03E3D19-1330-4FC6-967C-F8DDE7EB3352.sdProfile
15:38:30.832                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid ABF484EE-0FE5-4FA4-BB2E-A490E55C8540 added to profile 296C3531-BBCB-48A3-8DB0-9DB1C49D5076
15:38:30.833                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2003F08F-1F0C-4EF8-A1BF-78CF6D05F081 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.833                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C74BC9F3-93D9-448B-9A53-03934CD3ED5E added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.833                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 9006A453-863F-4FB9-BABD-5A6E01BA91D8 added to profile 7478E3B9-09B0-4663-BDE4-687E14D9C36B
15:38:30.833                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 7478E3B9-09B0-4663-BDE4-687E14D9C36B added to profile CBD4FE99-18E1-4578-AB27-E673A3396AE9
15:38:30.834                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 497F1AC2-91D4-46BD-956E-E8F925CC12D3 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.834                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 2DA0BB55-44C3-4A23-B5F6-F18E69B2F7A8 added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.834                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 02F1454D-2B8E-4081-8B2E-DEEB821CFE8C added to profile 09052463-EC68-4CE1-8F47-7DA8BF4049FE
15:38:30.834                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 09052463-EC68-4CE1-8F47-7DA8BF4049FE added to profile D09BEDDD-FA2E-48F4-BE44-8AEA76E7A018
15:38:30.835                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 6156EB39-4DAE-4E17-AA30-17AC8B56E96F added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.835                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C53D58C1-222C-46FC-AAFB-49A7AA276A09 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.835                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid C7227659-7A73-4BFE-B878-19EE61E36DA9 added to profile 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F
15:38:30.835                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 1A9EA177-EFB4-48E4-BF6D-E9C60F6C4F3F added to profile CE9674B0-4258-4D89-B5CE-6EFAD626E4DA
15:38:30.836                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4304FD0-56A6-4594-B118-7D186DEE1038 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.836                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid 3D6993A1-4105-49ED-B2AE-132A82A3C517 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.836                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid D4A42D1C-501E-4AD7-9B5E-B1098C729C89 added to profile BFC8A414-8F0F-4E0A-A9B3-2E80C486350B
15:38:30.836                     StreamDeck                        ESDProfile::AddSubProfile():                    Sub profile with uuid BFC8A414-8F0F-4E0A-A9B3-2E80C486350B added to profile 6DCFB894-9183-41C3-81BE-1E42C1540465
